product_name,quantity,unit_price,manufacturer,expiration_date,category,weight,color,material,production_date,total_value,production_year
Soup - Campbells - Chicken Noodle,265,6.2,Katz,2022-12-08,electronics,4.969776119402986,Mauv,wood,2023-12-15,1643.0,2023
Wine - Sauvignon Blanc,429,22.53,Meembee,2022-12-08,food,5.088278388278388,Red,plastic,2022-08-31,9665.37,2022
Pasta - Cheese / Spinach Bauletti,483,79.7,Skynoodle,2022-12-08,food,0.5,Puce,metal,2023-10-27,38495.1,2023
Wine - Cave Springs Dry Riesling,884,20.51,Centidel,2022-12-08,electronics,3.9,Green,plastic,2023-01-07,18130.84,2023
Table Cloth 62x120 Colour,476,62.39,Realcube,2022-12-26,electronics,2.6,Pink,metal,2022-03-20,29697.64,2022
Rolled Oats,852,86.68,Skibox,2023-04-30,food,5.088278388278388,Green,metal,2023-02-04,73851.36,2023
"Jam - Marmalade, Orange",966,65.78,Bubblemix,2022-12-08,clothing,9.7,Orange,metal,2023-04-30,63543.48,2023
Straws - Cocktale,600,54.72,Abata,2022-12-08,food,1.4,Teal,metal,2022-10-27,32832.0,2022
"Brownies - Two Bite, Chocolate",476,51.78,Fatz,2022-12-08,food,3.7,Khaki,plastic,2023-05-15,24647.28,2023
"Beef - Tongue, Fresh",274,50.92,Twitterbeat,2022-12-08,electronics,5.2,Goldenrod,wood,2022-02-02,13952.08,2022
Cake - Sheet Strawberry,736,79.7,Jetpulse,2022-12-08,clothing,0.3,Puce,plastic,2023-09-12,58659.200000000004,2023
Drambuie,563,4.41,Devshare,2022-12-08,clothing,4.99875,Puce,metal,2022-05-27,2482.83,2022
Noodles - Steamed Chow Mein,910,22.57,Skipstorm,2022-12-08,food,2.4,Violet,plastic,2023-10-08,20538.7,2023
"Cheese - Woolwich Goat, Log",208,20.47,Jayo,2022-12-08,food,3.3,Indigo,plastic,2023-12-14,4257.76,2023
Energy Drink - Franks Original,55,82.64,Camimbo,2022-12-08,food,6.6,Yellow,plastic,2023-02-07,4545.2,2023
Island Oasis - Pina Colada,727,71.99,Podcat,2022-12-08,food,3.7,Purple,wood,2022-10-26,52336.729999999996,2022
Chocolate Bar - Smarties,742,58.34,Oyope,2022-08-31,food,2.3,Maroon,plastic,2022-09-02,43288.280000000006,2022
Chevere Logs,112,2.92,Aivee,2022-07-12,electronics,9.8,Pink,wood,2023-02-11,327.03999999999996,2023
"Beef - Rib Roast, Capless",672,13.48,LiveZ,2022-12-08,clothing,4.99875,Aquamarine,wood,2023-03-09,9058.56,2023
Cornish Hen,883,9.09,Tambee,2022-12-08,clothing,6.9,Aquamarine,plastic,2023-07-09,8026.47,2023
Salad Dressing,120,87.3,Vinte,2023-09-05,electronics,5.6,Purple,plastic,2023-12-13,10476.0,2023
"Tart Shells - Sweet, 4",915,62.27,Oozz,2022-12-08,food,3.3,Puce,metal,2023-01-06,56977.05,2023
"Bread - Rolls, Rye",758,27.71,Cogidoo,2022-12-08,clothing,4.0,Maroon,wood,2023-12-26,21004.18,2023
"Apple - Delicious, Red",109,72.96,Demivee,2022-12-08,electronics,4.5,Yellow,wood,2023-04-22,7952.639999999999,2023
Sugar - Palm,221,74.41,Meezzy,2022-12-08,electronics,10.0,Fuscia,plastic,2022-08-16,16444.61,2022
Cheese - Gorgonzola,836,51.85,Centizu,2023-08-19,clothing,3.2,Khaki,plastic,2022-01-12,43346.6,2022
Papadam,927,94.76,Trilith,2022-12-08,clothing,8.8,Crimson,metal,2023-06-18,87842.52,2023
